date_label,generated_at,total_listings,all_win_pct,fitment_win_pct,od_win_pct,latched_win_pct,top50_win_pct,top500_win_pct
Jul 19,2026-07-19T21:18:26.571214+00:00,692,59.0,99.2,100.0,39.0,45.7,
Jul 20,2026-07-20T12:44:23.184169+00:00,693,59.9,99.2,100.0,40.7,45.7,
Jul 21,2026-07-21T11:57:42.601583+00:00,698,63.4,99.6,100.0,45.0,54.3,
Jul 22,2026-07-22T11:59:48.762308+00:00,698,62.4,99.6,100.0,44.3,51.4,
Jul 23,2026-07-23T11:59:04.330687+00:00,698,61.3,99.2,100.0,43.8,48.6,
Jul 24,2026-07-24T11:46:10.351399+00:00,696,61.3,99.2,100.0,43.6,45.7,
Jul 25,2026-07-25T10:00:25.241915+00:00,704,60.8,99.2,99.2,44.2,45.7,
Jul 26,2026-07-26T10:58:34.226747+00:00,711,60.3,99.6,99.2,43.5,48.6,
Jul 27,2026-07-27T14:10:26.446762+00:00,711,62.8,99.2,99.2,47.9,40.0,
Jul 28,2026-07-28T12:11:04.927100+00:00,711,63.5,98.9,99.2,48.4,42.9,
Jul 29,2026-07-29T12:20:18.758046+00:00,711,63.5,98.9,99.2,48.4,48.6,
Jul 30,2026-07-30T12:01:48.409944+00:00,711,62.6,98.9,99.2,47.1,45.7,
Jul 31,2026-07-31T12:17:16.693664+00:00,708,62.2,98.9,99.2,47.1,54.3,
Aug 01,2026-08-01T10:57:07.404244+00:00,709,40.5,50.0,0.0,40.7,48.5,
Aug 02,2026-08-02T10:55:36.391044+00:00,774,40.0,42.9,0.0,40.3,45.5,
Aug 03,2026-08-03T14:29:36.707419+00:00,772,44.4,66.7,0.0,44.6,54.5,
Aug 04,2026-08-04T12:23:02.759058+00:00,770,44.6,50.0,0.0,44.7,56.2,
Aug 05,2026-08-05T09:44:23.710633+00:00,770,44.1,50.0,0.0,44.2,53.1,
Aug 05,2026-08-05T18:36:33.217894+00:00,770,43.6,50.0,0.0,43.8,53.1,
Aug 05,2026-08-05T19:42:05.726677+00:00,770,43.3,50.0,0.0,43.5,53.1,29.3
Aug 06,2026-08-06T12:31:44.599078+00:00,755,47.5,57.1,50.0,47.5,51.6,32.9
Aug 07,2026-08-07T08:40:09.612389+00:00,689,70.9,97.2,99.4,53.0,48.5,37.4
